CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Condition,Count,Footnote,Location,GeoLocation
15T042,GOOD SAMARITAN HOSPITAL,520 SOUTH SEVENTH,,VINCENNES,IN,47591,Knox,(812) 885-3601,5,Stroke,69,,"520 SOUTH SEVENTH VINCENNES, IN 47591 (38.67292, -87.534213)","(39.766910452000445, -86.14996019399968)"
15T010,ST VINCENT KOKOMO HOSPITAL HEALTH CENTER,1907 SYCAMORE STREET,,KOKOMO,IN,46901,Howard,(765) 456-5210,5,Brain injury (traumatic),less than 11,1,"1907 SYCAMORE STREET KOKOMO, IN 46901 (40.49044, -86.1043)","(39.766910452000445, -86.14996019399968)"
673038,MEMORIAL HERMANN REHABILITATION HOSPITAL KATY,"21720 KINGSLAND BLVD, SUITE 102",,KATY,TX,77450,Harris,(281) 579-5678,6,Hip or femur fracture,92,,"21720 KINGSLAND BLVD, SUITE 102 KATY, TX 77450 (29.775015, -95.745834)","(31.827240407000488, -99.42677020599967)"
253027,"ENCOMPASS HEALTH REHABILITATION HOSPITAL, PARTNER","4500 13TH STREE, SUITE 900",,GULFPORT,MS,39501,Harrison,(228) 822-6965,4,Brain disease or condition (non-traumatic),104,,,"(32.745510099000455, -89.53803082499968)"
25T099,THE LEFLORE REHABILITATION CENTER,1401 RIVER RD.,,GREENWOOD,MS,38930,Leflore,(662) 451-5181,4,Brain disease or condition (non-traumatic),19,,"1401 RIVER RD. GREENWOOD, MS 38930 (33.518254, -90.200189)","(32.745510099000455, -89.53803082499968)"
05T103,WHITE MEMORIAL MEDICAL CENTER,1720 EAST CESAR CHAVEZ AVENUE,,LOS ANGELOS,CA,90033,Los Angeles,(323) 268-5000,9,Brain disease or condition (non-traumatic),19,,"1720 EAST CESAR CHAVEZ AVENUE LOS ANGELOS, CA 90033 (34.051079, -118.217347)","(37.63864012300047, -120.99999953799971)"
05T782,CASA COLINA HOSP FOR REHAB MEDICINE,255 E BONITA AVE,PO BOX 6001,POMONA,CA,91769,Los Angeles,(909) 596-7733,9,Brain disease or condition (non-traumatic),73,,"255 E BONITA AVE POMONA, CA 91769 (34.096242, -117.746861)","(37.63864012300047, -120.99999953799971)"
223034,SPAULDING REHABILITATION HOSPITAL,300 FIRST AVENUE,,CHARLESTOWN,MA,2129,Suffolk,(617) 720-6400,1,Hip or femur fracture,53,,"300 FIRST AVENUE CHARLESTOWN, MA 02129 (42.378048, -71.049363)","(42.27687047000046, -72.08269067499964)"
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,,BIRMINGHAM,AL,35243,Jefferson,(205) 971-4520,4,Nervous system disorder (excluding stroke),23,,"3690 GRANDVIEW PARKWAY BIRMINGHAM, AL 35243 (33.434363, -86.720483)","(32.84057112200048, -86.63186076199969)"
03T037,ST. LUKES ACUTE REHAB,1800 E VAN BUREN,,PHOENIX,AZ,85006,Maricopa,(602) 251-8545,9,Spinal cord disease or condition (non-traumatic),less than 11,1,"1800 E VAN BUREN PHOENIX, AZ 85006 (33.451436, -112.042767)","(34.865970280000454, -111.76381127699972)"
49T021,VIRGINIA BAPTIST HOSPITAL,3300 RIVERMONT AVE,,LYNCHBURG,VA,24503,Lynchburg City,(434) 200-5879,3,All other conditions,17,,"3300 RIVERMONT AVE LYNCHBURG, VA 24503 (37.439227, -79.18859)","(37.54268067400045, -78.45789046299967)"
06T064,PORTER ADVENTIST HOSPITAL,2525 S. DOWNING ST.,,DENVER,CO,80210,Denver,(303) 765-6194,8,Nervous system disorder (excluding stroke),11,,"2525 S. DOWNING ST. DENVER, CO 80210 (39.67064, -104.973482)","(38.843840757000464, -106.13361092099967)"
45T101,HILLCREST BAPTIST MED CTR,100 HILLCREST MEDICAL BLVD,,WACO,TX,76712,McLennan,(254) 202-9815,6,All other conditions,79,,"100 HILLCREST MEDICAL BLVD WACO, TX 76712 (31.489212, -97.156804)","(31.827240407000488, -99.42677020599967)"
23T270,BEAUMONT TAYLOR,10000 TELEGRAPH RD,,TAYLOR,MI,48180,Wayne,(313) 295-5197,5,Spinal cord injury (traumatic),less than 11,1,"10000 TELEGRAPH RD TAYLOR, MI 48180 (42.233501, -83.269667)","(44.6613195430005, -84.71439026999968)"
43034,SOUTHEAST REHABILITATION HOSPITAL,905 BORGOGNONI DRIVE,,LAKE VILLAGE,AR,71653,Chicot,(870) 265-4333,6,Brain injury (traumatic),13,,"905 BORGOGNONI DRIVE LAKE VILLAGE, AR 71653 (33.315316, -91.290067)","(34.74865012400045, -92.27449074299966)"
33039,"COBALT REHABILITATION HOSPITAL IV, LLC",13060 WEST BELL ROAD,,SURPRISE,AZ,85378,Maricopa,(623) 499-9100,9,Spinal cord disease or condition (non-traumatic),23,,"13060 WEST BELL ROAD SURPRISE, AZ 85378 (33.638729, -112.341253)","(34.865970280000454, -111.76381127699972)"
22T066,WELDON CENTER FOR REHABILITATION,271 CAREW STREET,,SPRINGFIELD,MA,1102,Hampden,(413) 748-6941,1,"Hip or knee replacement, amputation or other bone or joint condition",109,,"271 CAREW STREET SPRINGFIELD, MA 01102 (42.115878, -72.595442)","(42.27687047000046, -72.08269067499964)"
34T097,REGIONAL REHAB CENTER AT HUGH CHATHAM,700 JOHNSON RIDGE ROAD,,ELKIN,NC,28621,Surry,(336) 527-7052,4,All other conditions,Not Available,2,"700 JOHNSON RIDGE ROAD ELKIN, NC 28621 (36.267108, -80.836547)","(35.466220975000454, -79.15925046299964)"
49T048,LEWIS-GALE MEDICAL CENTER,1900 ELECTRIC ROAD,,SALEM,VA,24153,Salem City,(540) 776-4472,3,All other conditions,185,,"1900 ELECTRIC ROAD SALEM, VA 24153 (37.2651, -80.033158)","(37.54268067400045, -78.45789046299967)"
13T002,ST. LUKE'S MAGIC VALLEY REGIONAL MEDICAL CENTER,P.O BOX 409,775 POLE LINE ROAD WEST SUITE,TWIN FALLS,ID,83301,Twin Falls,(208) 814-3725,10,Brain injury (traumatic),14,,,"(43.682630005000476, -114.3637300419997)"
443027,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF KINGSP,113 CASSEL DRIVE,,KINGSPORT,TN,37660,Sullivan,(423) 246-7240,4,Spinal cord disease or condition (non-traumatic),15,,"113 CASSEL DRIVE KINGSPORT, TN 37660 (36.55383, -82.55133)","(35.68094058000048, -85.77449091399967)"
06T014,PRESBYTERIAN/ST LUKE'S MEDICAL CTR,1719 E 19TH AVE,,DENVER,CO,80218,Denver,(303) 839-6100,8,All other conditions,Not Available,2,"1719 E 19TH AVE DENVER, CO 80218 (39.746089, -104.967175)","(38.843840757000464, -106.13361092099967)"
23R334,HERRICK MEMORIAL HOSPITAL,500 EAST POTTAWATAMIE ST.,,TECUMSEH,MI,49221,Lenawee,(517) 424-3387,5,Stroke,Not Available,2,"500 EAST POTTAWATAMIE ST. TECUMSEH, MI 49221 (42.002909, -83.93755)","(44.6613195430005, -84.71439026999968)"
14T186,RIVERSIDE MEDICAL CENTER,350 N WALL,,KANKAKEE,IL,60901,Kankakee,(502) 596-6346,5,All other conditions,117,,"350 N WALL KANKAKEE, IL 60901 (41.124148, -87.882651)","(40.48501028300046, -88.99771017799969)"
08T001,CENTER FOR REHABILITATION AT WILMINGTON HOSPITAL,501 WEST 14TH STREET,,WILMINGTON,DE,19899,New Castle,(302) 320-6999,3,Stroke,173,,"501 WEST 14TH STREET WILMINGTON, DE 19899 (39.750572, -75.548955)","(39.008830667000495, -75.57774116799965)"
38T001,MID-COLUMBIA MEDICAL CENTER,1700 E. 19TH ST,,THE DALLES,OR,97058,Wasco,(541) 506-6902,10,Stroke,14,,"1700 E. 19TH ST THE DALLES, OR 97058 (45.587948, -121.16547)","(44.56744942400047, -120.15503132599969)"
23T002,ST MARY MERCY HOSPITAL,36475 FIVE MILE ROAD,,LIVONIA,MI,48154,Wayne,(734) 655-2815,5,Spinal cord disease or condition (non-traumatic),less than 11,1,"36475 FIVE MILE ROAD LIVONIA, MI 48154 (42.39657, -83.404577)","(44.6613195430005, -84.71439026999968)"
19T020,LANE REHABILITATION CENTER,4601 MCHUGH ROAD,,ZACHARY,LA,70791,East Baton Rouge,(502) 596-6346,6,Brain injury (traumatic),less than 11,1,"4601 MCHUGH ROAD ZACHARY, LA 70791 (30.646556, -91.139106)","(31.31266064400046, -92.44568007099969)"
19T065,BATON ROUGE GENERAL MEDICAL CENTER,3600 FLORIDA BLVD.,,BATON ROUGE,LA,70806,East Baton Rouge,(225) 387-7000,6,All other conditions,11,,"3600 FLORIDA BLVD. BATON ROUGE, LA 70806 (30.450336, -91.154638)","(31.31266064400046, -92.44568007099969)"
36T211,THE TRINITY REHABILITATION CENTER,380 SUMMIT AVE,,STEUBENVILLE,OH,43952,Jefferson,(740) 283-7809,5,Spinal cord disease or condition (non-traumatic),less than 11,1,"380 SUMMIT AVE STEUBENVILLE, OH 43952 (40.356224, -80.625103)","(40.06021014100048, -82.40426005599966)"
05T116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD.,,NORTHRIDGE,CA,91328,Los Angeles,(818) 885-8500,9,Brain disease or condition (non-traumatic),25,,"18300 ROSCOE BLVD. NORTHRIDGE, CA 91328 (34.220789, -118.533216)","(37.63864012300047, -120.99999953799971)"
33T160,STATEN ISLAND UNIVERSITY HOSP,475 SEAVIEW AVENUE,,STATEN ISLAND,NY,10305,Richmond,(718) 226-8027,2,Nervous system disorder (excluding stroke),58,,"475 SEAVIEW AVENUE STATEN ISLAND, NY 10305 (40.584082, -74.087013)","(42.82700103200045, -75.54397042699964)"
44T152,REHABILITATION HOSPITAL OF MEMPHIS,890 MADISON AVENUE,3RD FLOOR TURNER TOWER,MEMPHIS,TN,38103,Shelby,(901) 545-6060,4,Spinal cord disease or condition (non-traumatic),less than 11,1,"890 MADISON AVENUE MEMPHIS, TN 38103 (35.140373, -90.03139)","(35.68094058000048, -85.77449091399967)"
45T647,MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LANE,9TH FLOOR - INPATIENT REHAB,DALLAS,TX,75230,Dallas,(972) 566-6751,6,Stroke,74,,"7777 FOREST LANE DALLAS, TX 75230 (32.909447, -96.772089)","(31.827240407000488, -99.42677020599967)"
23T259,CHELSEA COMMUNITY HOSPITAL,775 S MAIN,,CHELSEA,MI,48118,Washtenaw,(734) 593-5309,5,Stroke,25,,"775 S MAIN CHELSEA, MI 48118 (42.310594, -84.016571)","(44.6613195430005, -84.71439026999968)"
33T046,MT. SINAI - ST. LUKES HOSPITAL CENTER,1111 AMSTERDAM AVE- STY6 REHAB,,NEW YORK,NY,10025,New York,(212) 523-3299,2,"Hip or knee replacement, amputation or other bone or joint condition",80,,"1111 AMSTERDAM AVE- STY6 REHAB NEW YORK, NY 10025 (40.805939, -73.961702)","(42.82700103200045, -75.54397042699964)"
05T624,HENRY MAYO NEWHALL MEM HOSP,23834 MCBEAN PKWY,,VALENCIA,CA,91355,Los Angeles,(661) 200-1538,9,Hip or femur fracture,less than 11,1,"23834 MCBEAN PKWY VALENCIA, CA 91355 (34.396079, -118.553256)","(37.63864012300047, -120.99999953799971)"
41T006,NEWPORT HOSPITAL,11 FRIENDSHIP STREET,,NEWPORT,RI,2840,Newport,(401) 845-1600,1,Spinal cord injury (traumatic),less than 11,1,"11 FRIENDSHIP STREET NEWPORT, RI 02840 (41.497809, -71.306193)","(41.70828019300046, -71.52247031399963)"
05T348,UNIV OF CA IRVINE MED CTR,101 THE CITY DRIVE,,ORANGE,CA,92868,Orange,(714) 456-5749,9,All other conditions,25,,"101 THE CITY DRIVE ORANGE, CA 92868 (33.788895, -117.890718)","(37.63864012300047, -120.99999953799971)"
193070,ACCORD REHABILITATION HOSPITAL,59213 RIVER WEST DRIVE,,PLAQUEMINE,LA,70764,Iberville,(225) 687-8100,6,Spinal cord disease or condition (non-traumatic),less than 11,1,"59213 RIVER WEST DRIVE PLAQUEMINE, LA 70764 (30.264388, -91.243621)","(31.31266064400046, -92.44568007099969)"
513030,ENCOMPASS HEALTH REHAB HOSPITAL OF MORGANTOWN,1160 VAN VOORHIS ROAD,,MORGANTOWN,WV,26504,Monongalia,(304) 598-1100,3,All other conditions,189,,"1160 VAN VOORHIS ROAD MORGANTOWN, WV 26504 (39.656065, -79.963395)","(38.66551020200046, -80.71264013499967)"
15T061,DAVIESS COMMUNITY HOSPITAL,1314 E WALNUT ST,,WASHINGTON,IN,47501,Daviess,(812) 254-2760,5,Stroke,13,,"1314 E WALNUT ST WASHINGTON, IN 47501 (38.658695, -87.160319)","(39.766910452000445, -86.14996019399968)"
19T020,LANE REHABILITATION CENTER,4601 MCHUGH ROAD,,ZACHARY,LA,70791,East Baton Rouge,(502) 596-6346,6,Nervous system disorder (excluding stroke),22,,"4601 MCHUGH ROAD ZACHARY, LA 70791 (30.646556, -91.139106)","(31.31266064400046, -92.44568007099969)"
263030,ST LUKE'S REHABILITATION HOSPITAL,14709 OLIVE BOULEVARD,,CHESTERFIELD,MO,63017,St. Louis,(314) 317-5700,7,Nervous system disorder (excluding stroke),101,,"14709 OLIVE BOULEVARD CHESTERFIELD, MO 63017 (38.674386, -90.532307)","(38.635790776000476, -92.56630005299968)"
37T106,INTEGRIS SOUTHWEST MEDICAL CENTER,4401 SOUTH WESTERN AVENUE,,OKLAHOMA CITY,OK,73109,Oklahoma,(405) 636-7000,6,All other conditions,279,,"4401 SOUTH WESTERN AVENUE OKLAHOMA CITY, OK 73109 (35.422535, -97.530196)","(35.47203135600046, -97.52107021399968)"
45T675,MEDICAL CITY ARLINGTON REHAB,3301 MATLOCK ROAD,,ARLINGTON,TX,76015,Tarrant,(817) 525-4688,6,Hip or femur fracture,48,,"3301 MATLOCK ROAD ARLINGTON, TX 76015 (32.691751, -97.1148)","(31.827240407000488, -99.42677020599967)"
453052,KINDRED REHABILITATION HOSPITAL CLEAR LAKE,655 E MEDICAL CENTER BLVD,,WEBSTER,TX,77598,Harris,(281) 286-1500,6,Brain injury (traumatic),22,,"655 E MEDICAL CENTER BLVD WEBSTER, TX 77598 (29.547109, -95.116889)","(31.827240407000488, -99.42677020599967)"
39T049,ST LUKES HOSPITAL,801 OSTRUM ST,,BETHLEHEM,PA,18015,Northampton,(484) 526-2304,3,Nervous system disorder (excluding stroke),11,,"801 OSTRUM ST BETHLEHEM, PA 18015 (40.608697, -75.392507)","(40.79373015200048, -77.86070029399963)"
16T079,MERCY MEDICAL CENTER - CEDAR RAPIDS,701 TENTH STREET SE,,CEDAR RAPIDS,IA,52403,Linn,(319) 398-6712,7,All other conditions,less than 11,1,"701 TENTH STREET SE CEDAR RAPIDS, IA 52403 (41.978904, -91.654798)","(42.46940091300047, -93.81649055599968)"
673025,PAM REHABILITATION HOSPITAL OF ALLEN,1001 RAINTREE CIRCLE,,ALLEN,TX,75013,Collin,(972) 908-2015,6,Stroke,88,,"1001 RAINTREE CIRCLE ALLEN, TX 75013 (33.113167, -96.675352)","(31.827240407000488, -99.42677020599967)"
14T239,ROCKFORD MEMORIAL HOSPITAL,2400 NORTH ROCKTON AVENUE,,ROCKFORD,IL,61103,Winnebago,(815) 971-5000,5,Hip or femur fracture,Not Available,2,"2400 NORTH ROCKTON AVENUE ROCKFORD, IL 61103 (42.298434, -89.096782)","(40.48501028300046, -88.99771017799969)"
05T238,METHODIST HOSP S CALIFORNIA,300 W HUNTINGTON DR,,ARCADIA,CA,91007,Los Angeles,(412) 209-8936,9,Brain disease or condition (non-traumatic),54,,"300 W HUNTINGTON DR ARCADIA, CA 91007 (34.134862, -118.042446)","(37.63864012300047, -120.99999953799971)"
23T105,MCLAREN NORTHERN MICHIGAN,416 CONNABLE AVE.,,PETOSKEY,MI,49770,Emmet,(502) 596-6346,5,Stroke,74,,"416 CONNABLE AVE. PETOSKEY, MI 49770 (45.373477, -84.969152)","(44.6613195430005, -84.71439026999968)"
45T035,ST. JOSEPH MEDICAL CENTER,1401 ST. JOSEPH PARKWAY,GWS 3381,HOUSTON,TX,77002,Harris,(713) 756-5334,6,Nervous system disorder (excluding stroke),38,,"1401 ST. JOSEPH PARKWAY HOUSTON, TX 77002 (29.747898, -95.36639)","(31.827240407000488, -99.42677020599967)"
05T278,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI ST,,MISSION HILLS,CA,91345,Los Angeles,(818) 496-4415,9,Brain disease or condition (non-traumatic),14,,"15031 RINALDI ST MISSION HILLS, CA 91345 (34.279013, -118.459485)","(37.63864012300047, -120.99999953799971)"
22T074,SOUTHCOAST HOSPITALS GROUP INC.,CHARLTON MEMORIAL HOSPITAL,363 HIGHLAND AVENUE,FALL RIVER,MA,2720,Plymouth,(508) 973-7554,1,All other conditions,127,,,"(42.27687047000046, -72.08269067499964)"
453092,SOUTH TEXAS REHABILTATION HOSPITAL,425 EAST ALTON GLOOR BLVD,,BROWNSVILLE,TX,78526,Cameron,(956) 554-6000,6,Stroke,98,,"425 EAST ALTON GLOOR BLVD BROWNSVILLE, TX 78526 (25.979768, -97.510458)","(31.827240407000488, -99.42677020599967)"
45T137,BAYLOR MEDICAL CENTER AT ALL SAINTS,1400 EIGHTH AVENUE,,FORT WORTH,TX,76104,Tarrant,(817) 926-2544,6,Hip or femur fracture,Not Available,2,"1400 EIGHTH AVENUE FORT WORTH, TX 76104 (32.730288, -97.343729)","(31.827240407000488, -99.42677020599967)"
393026,HEALTHSOUTH READING REHABILITATION HOSPITAL,1623 MORGANTOWN ROAD,,READING,PA,19607,Berks,(610) 796-6000,3,"Hip or knee replacement, amputation or other bone or joint condition",218,,"1623 MORGANTOWN ROAD READING, PA 19607 (40.288306, -75.923948)","(40.79373015200048, -77.86070029399963)"
10T110,OSCEOLA RGNL PHYSICAL REHAB,700 W OAK ST,,KISSIMMEE,FL,34741,Osceola,(407) 518-5208,4,"Hip or knee replacement, amputation or other bone or joint condition",45,,"700 W OAK ST KISSIMMEE, FL 34741 (28.300923, -81.410854)","(28.932040377000476, -81.92896053899966)"
16T089,OTTUMWA REGIONAL HEALTH CENTER,1001 PENNSYLVANIA AVENUE,,OTTUMWA,IA,52501,Wapello,(502) 596-6346,7,Spinal cord injury (traumatic),Not Available,2,"1001 PENNSYLVANIA AVENUE OTTUMWA, IA 52501 (41.02749, -92.390461)","(42.46940091300047, -93.81649055599968)"
26T138,ST LUKES HOSPITAL KANSAS CITY,4401 WORNALL RD,,KANSAS CITY,MO,64111,Jackson,(816) 932-2428,7,Stroke,106,,"4401 WORNALL RD KANSAS CITY, MO 64111 (39.046134, -94.59015)","(38.635790776000476, -92.56630005299968)"
26T047,CAPITAL REGION MEDICAL CENTER,PO BOX 1128,,JEFFERSON CITY,MO,65102,Cole,(573) 632-5627,7,Stroke,69,,,"(38.635790776000476, -92.56630005299968)"
15T061,DAVIESS COMMUNITY HOSPITAL,1314 E WALNUT ST,,WASHINGTON,IN,47501,Daviess,(812) 254-2760,5,Brain disease or condition (non-traumatic),less than 11,1,"1314 E WALNUT ST WASHINGTON, IN 47501 (38.658695, -87.160319)","(39.766910452000445, -86.14996019399968)"
39T016,JAMESON HOSPITAL,1211 WILMINGTON RD,,NEW CASTLE,PA,16105,Lawrence,(724) 462-5516,3,Brain injury (traumatic),less than 11,1,"1211 WILMINGTON RD NEW CASTLE, PA 16105 (41.013452, -80.351116)","(40.79373015200048, -77.86070029399963)"
04T002,JOHNSON REGIONAL REHABILITATION CENTER,1100 EAST POPLAR ST.,,CLARKSVILLE,AR,72830,Johnson,(479) 754-5484,6,Brain disease or condition (non-traumatic),less than 11,1,"1100 EAST POPLAR ST. CLARKSVILLE, AR 72830 (35.464384, -93.445797)","(34.74865012400045, -92.27449074299966)"
343026,CAROLINAS REHABILITATION,1100 BLYTHE BOULEVARD,,CHARLOTTE,NC,28203,Mecklenburg,(704) 355-4370,4,Nervous system disorder (excluding stroke),62,,"1100 BLYTHE BOULEVARD CHARLOTTE, NC 28203 (35.202596, -80.83751)","(35.466220975000454, -79.15925046299964)"
13T002,ST. LUKE'S MAGIC VALLEY REGIONAL MEDICAL CENTER,P.O BOX 409,775 POLE LINE ROAD WEST SUITE,TWIN FALLS,ID,83301,Twin Falls,(208) 814-3725,10,All other conditions,26,,,"(43.682630005000476, -114.3637300419997)"
363041,TRIHEALTH REHABILITATION HOSPITAL LLC,2155 DANA AVENUE,,CINCINNATI,OH,45207,Hamilton,(513) 601-0600,5,Brain disease or condition (non-traumatic),73,,"2155 DANA AVENUE CINCINNATI, OH 45207 (39.14551, -84.459197)","(40.06021014100048, -82.40426005599966)"
39T265,JEFFERSON HOSPITAL,565 COAL VALLEY RD,,JEFFERSON HILLS,PA,15025,Allegheny,(412) 469-7488,3,"Hip or knee replacement, amputation or other bone or joint condition",45,,"565 COAL VALLEY RD JEFFERSON HILLS, PA 15025 (40.319963, -79.933468)","(40.79373015200048, -77.86070029399963)"
42T087,ROPER REHABILITATION HOSPITAL,316 CALHOUN ST,,CHARLESTON,SC,29401,Charleston,(843) 724-2819,4,Spinal cord injury (traumatic),less than 11,1,"316 CALHOUN ST CHARLESTON, SC 29401 (32.782372, -79.948734)","(33.998821303000454, -81.04537120699968)"
503025,ST LUKES REHABILITATION INSTITUTE,711 SOUTH COWLEY ST,,SPOKANE,WA,99202,Spokane,(509) 473-6000,10,Nervous system disorder (excluding stroke),31,,"711 SOUTH COWLEY ST SPOKANE, WA 99202 (47.649376, -117.408153)","(47.52227862900048, -120.47001078999972)"
05T717,LAC/RANCHO LOS AMIGOS NATIONAL MED CTR,7601 E IMPERIAL HWY,,DOWNEY,CA,90242,Orange,(562) 385-7913,9,Brain disease or condition (non-traumatic),less than 11,1,,"(37.63864012300047, -120.99999953799971)"
26T074,MOBERLY REGIONAL MEDICAL CENTER,1515 UNION AVE,,MOBERLY,MO,65270,Randolph,(660) 263-8400,7,All other conditions,Not Available,2,"1515 UNION AVE MOBERLY, MO 65270 (39.423879, -92.414216)","(38.635790776000476, -92.56630005299968)"
25T078,FORREST GENERAL HOSPITAL,PO BOX 16389,,HATTIESBURG,MS,39404,Forrest,(601) 288-3862,4,Stroke,104,,,"(32.745510099000455, -89.53803082499968)"
37T023,DUNCAN REGIONAL HOSPITAL,1407 WHISENANT,,DUNCAN,OK,73533,Stephens,(580) 252-5300,6,Nervous system disorder (excluding stroke),15,,"1407 WHISENANT DUNCAN, OK 73533 (34.520014, -97.974978)","(35.47203135600046, -97.52107021399968)"
39T125,WAYNE MEMORIAL HOSPITAL,601 PARK STREET,,HONESDALE,PA,18431,Wayne,(570) 253-8100,3,All other conditions,23,,"601 PARK STREET HONESDALE, PA 18431 (41.576284, -75.259796)","(40.79373015200048, -77.86070029399963)"
33T044,FAXTON-ST. LUKES HEALTHCARE,1650 CHAMPLIN AVENUE,,UTICA,NY,13502,Oneida,(315) 624-8759,2,Spinal cord disease or condition (non-traumatic),less than 11,1,"1650 CHAMPLIN AVENUE UTICA, NY 13502 (43.098156, -75.275288)","(42.82700103200045, -75.54397042699964)"
01T113,MOBILE INFIRMARY,POB 2144,,MOBILE,AL,36652,Mobile,(251) 435-3400,4,"Hip or knee replacement, amputation or other bone or joint condition",74,,,"(32.84057112200048, -86.63186076199969)"
10T038,MEMORIAL REHABILITATION INSTITUTE,3600 WASHINGTON STREET,,HOLLYWOOD,FL,33021,Broward,(954) 518-2902,4,Brain disease or condition (non-traumatic),91,,"3600 WASHINGTON STREET HOLLYWOOD, FL 33021 (26.003051, -80.17997)","(28.932040377000476, -81.92896053899966)"
10T022,JACKSON MEMORIAL HOSPITAL,1611 N.W. 12 AVENUE,,MIAMI,FL,33136,Miami-Dade,(305) 585-7292,4,"Hip or knee replacement, amputation or other bone or joint condition",72,,"1611 N.W. 12 AVENUE MIAMI, FL 33136 (25.790612, -80.214945)","(28.932040377000476, -81.92896053899966)"
33036,MOUNTAIN VALLEY REGIONAL REHABILITATION HOSPITAL,3700 NORTH WINDSONG DRIVE,,PRESCOTT VALLEY,AZ,86314,Yavapai,(928) 759-8800,9,Stroke,147,,"3700 NORTH WINDSONG DRIVE PRESCOTT VALLEY, AZ 86314 (34.596209, -112.327541)","(34.865970280000454, -111.76381127699972)"
363026,"HILLSIDE REHABILITATION HOSPITAL, INC",8747 SQUIRES LANE NE,,WARREN,OH,44484,Trumbull,(330) 884-5879,5,Brain disease or condition (non-traumatic),53,,"8747 SQUIRES LANE NE WARREN, OH 44484 (41.249207, -80.731816)","(40.06021014100048, -82.40426005599966)"
22T065,NOBLE HOSPITAL,115 W SILVER ST,NOBLE HOSPITAL,WESTFIELD,MA,1086,Hampden,(502) 596-6346,1,Nervous system disorder (excluding stroke),26,,"115 W SILVER ST WESTFIELD, MA 01086 (42.117789, -72.760397)","(42.27687047000046, -72.08269067499964)"
07T033,DANBURY HOSPITAL,24 HOSPITAL AVENUE,,DANBURY,CT,6810,Fairfield,(203) 739-6993,1,Brain injury (traumatic),less than 11,1,"24 HOSPITAL AVENUE DANBURY, CT 06810 (41.406776, -73.444339)","(41.56266102000046, -72.64984095199964)"
19T008,TERREBONNE GENERAL MEDICAL CENTER,8166 MAIN STREET,,HOUMA,LA,70360,Terrebonne,(985) 873-4721,6,"Hip or knee replacement, amputation or other bone or joint condition",18,,"8166 MAIN STREET HOUMA, LA 70360 (29.598537, -90.714322)","(31.31266064400046, -92.44568007099969)"
323032,"REHABILITATION HOSPITAL OF SOUTHERN NEW MEXICO,INC",4441 E LOHMAN AVE,,LAS CRUCES,NM,88011,Dona Ana,(575) 521-6400,6,Hip or femur fracture,118,,"4441 E LOHMAN AVE LAS CRUCES, NM 88011 (32.324672, -106.724505)","(34.52088095200048, -106.24058098499967)"
15T002,METHODIST NORTHLAKE,600 GRANT ST,,GARY,IN,46402,Lake,(219) 886-4633,5,Brain injury (traumatic),less than 11,1,"600 GRANT ST GARY, IN 46402 (41.599436, -87.357023)","(39.766910452000445, -86.14996019399968)"
23T156,ST. JOSEPH MERCY HOSPITAL-ANN ARBOR,5301 EAST HURON RIVER DRIVE,,ANN ARBOR,MI,48106,Washtenaw,(734) 712-5358,5,Nervous system disorder (excluding stroke),15,,"5301 EAST HURON RIVER DRIVE ANN ARBOR, MI 48106 (42.261803, -83.659819)","(44.6613195430005, -84.71439026999968)"
45T184,MEMORIAL HERMANN HOSPITAL,7737 SW FWY,,HOUSTON,TX,77074,Harris,(713) 867-3394,6,All other conditions,142,,"7737 SW FWY HOUSTON, TX 77074 (29.695206, -95.522914)","(31.827240407000488, -99.42677020599967)"
523027,REHABILITATION HOSPITAL OF WISCONSIN,1625 COLD WATER CREEK DRIVE,,WAUKESHA,WI,53188,Waukesha,(262) 521-8800,5,Nervous system disorder (excluding stroke),89,,"1625 COLD WATER CREEK DRIVE WAUKESHA, WI 53188 (43.026858, -88.287091)","(44.39319117400049, -89.81637074199966)"
11T076,EMORY DECATUR HOSPITAL,2701 NORTH DECATUR ROAD,,DECATUR,GA,30033,DeKalb,(404) 501-1000,4,Nervous system disorder (excluding stroke),41,,"2701 NORTH DECATUR ROAD DECATUR, GA 30033 (33.79216, -84.282679)","(32.83968109300048, -83.62758034599966)"
42T030,COLLETON MEDICAL CENTER,501 ROBERTSON BLVD,PO BOX 5001,WALTERBORO,SC,29488,Colleton,(843) 782-2455,4,"Hip or knee replacement, amputation or other bone or joint condition",15,,"501 ROBERTSON BLVD WALTERBORO, SC 29488 (32.921855, -80.67088)","(33.998821303000454, -81.04537120699968)"
453053,HEALTHSOUTH  REHABILITATION HOSPITAL OF TEXARKANA,515 WEST 12TH ST,,TEXARKANA,TX,75501,Bowie,(903) 793-0088,6,Spinal cord injury (traumatic),less than 11,1,"515 WEST 12TH ST TEXARKANA, TX 75501 (33.430629, -94.048497)","(31.827240407000488, -99.42677020599967)"
